%Iteration	Healthy	Infected_1	Infected_2	Dead	
0	950000	50000	0	0	
1	398842	551158	50000	0	
2	67493	331349	601158	0	
3	58832	8661	882507	50000	
4	108311	26	340010	551653	
5	654476	4	8687	336833	
6	987812	58	30	12100	
7	999448	333	62	157	
8	998723	880	391	6	
9	997022	1707	1213	58	
10	994267	2813	2587	333	
11	990381	4215	4520	884	
12	985317	5937	7028	1718	
13	979204	7819	10152	2825	
14	972081	9920	13756	4243	
15	964229	12052	17739	5980	
16	955858	14291	21972	7879	
17	946737	16917	26343	10003	
18	937203	19445	31208	12144	
19	927765	21473	36362	14400	
20	918511	23517	40918	17054	
21	909857	25557	44990	19596	
22	900895	28359	49074	21672	
23	891504	30866	53916	23714	
24	882344	32621	59225	25810	
25	873612	34280	63487	28621	
26	865952	35976	66901	31171	
27	858109	38697	70256	32938	
28	848905	41794	74673	34628	
29	838202	44956	80491	36351	
30	825590	48572	86750	39088	
31	815214	49020	93528	42238	
32	804942	52095	97592	45371	
33	794343	55513	101115	49029	
34	784401	58487	107608	49504	
35	771508	61929	114000	52563	
36	758772	64808	120416	56004	
37	747042	67201	126737	59020	
38	735863	69649	132009	62479	
39	725262	72441	136850	65447	
40	715716	74336	142090	67858	
41	706333	76572	146777	70318	
42	696416	79560	150908	73116	
43	688621	80112	156132	75135	
44	679693	83280	159672	77355	
45	669442	86891	163392	80275	
46	660120	88769	170171	80940	
47	649219	91020	175660	84101	
48	639972	92550	179789	87689	
49	632556	94248	183570	89626	
50	624705	96608	186798	91889	
51	621980	93657	190856	93507	
52	622110	92445	190265	95180	
53	621935	94412	186102	97551	
54	621746	96759	186857	94638	
55	616375	99013	191171	93441	
56	610073	98878	195772	95277	
57	606307	98069	197891	97733	
58	602627	100381	196947	100045	
59	598632	102993	198450	99925	
60	593764	103857	203374	99005	
61	586675	105103	206850	101372	
62	587024	99954	208960	104062	
63	588296	101702	205057	104945	
64	586253	105901	201656	106190	
65	580719	110666	207603	101012	
66	567547	113180	216567	102706	
67	558122	111048	223846	106984	
68	550883	113147	224228	111742	
69	543441	118034	224195	114330	
70	533347	123260	231181	112212	
71	518133	126316	241294	114257	
72	506624	124665	249576	119135	
73	499486	125081	250981	124452	
74	492904	129822	249746	127528	
75	484013	135156	254903	125928	
76	470439	138230	264978	126353	
